IATA,Name
ANP,Lee
ANQ,Tri-State Steuben Cty
ANR,Deurne
ANS,Andahuaylas
ANT,St Anton
ANU,V. C. Bird Intl
ANV,Anvik
ANW,Ainsworth
ANX,Andenes
ANY,Anthony
ANZ,Angus Downs
AOA,Aroa
AOB,Annanberg
AOC,Altenburg Nobitz
AOD,Abou Deia
AOE,Anadolu University
AOG,Anshan
AOH,Allen County
AOI,Falconara
AOJ,Aomori
AOK,Karpathos
AOL,Paso De Los Libres
AON,Arona
AOO,Martinsburg
AOR,Alor Setar
AOS,Amook
AOT,Corrado Gex
AOU,Attopeu
APA,Arapahoe Co
APB,Apolo
APC,Napa County
APE,San Juan Aposento
APF,Naples
APG,Phillips AAF
APH,Camp A P Hill
API,Apiay
APK,Apataki
APL,Nampula
APN,Alpena County Regional
APO,Apartado
APP,Asapa
APQ,Arapiraca
APR,April River
APS,Anapolis
APT,Marion County
APU,Apucarana
APV,Apple Valley
APW,Faleolo
APX,Arapongas
APY,Alto Parnaiba
APZ,Zapala
AQA,Araraquara
AQB,Quiche Airport
AQG,Anqing
AQI,Qaisumah
AQJ,King Hussein Intl
AQM,Ariquemes
AQP,Rodriguez Ballon
AQS,Saqani
AQY,Alyeska
ARA,Acadiana Regional
ARB,Municipal
ARC,Arctic Village
ARD,Alor Island
ARE,Arecibo
ARF,Acaricuara
ARG,Walnut Ridge
ARH,Talagi
ARI,Chacalluta
ARJ,Arso
ARK,Arusha
ARL,Arly
ARM,Armidale
ARN,Arlanda
ARO,Arboletas
ARP,Aragip
ARQ,Arauquita
ARR,Alto Rio Senguerr
ARS,Aragarcas
ART,Watertown
ARU,Aracatuba
ARV,Noble F. Lee
ARW,Arad
ARX,Asbury Park
ARY,Ararat
ASA,Assab International
ASB,Ashgabat
ASC,Ascension
ASD,Andros Town
ASE,Aspen
ASF,Astrakhan
ASG,Ashburton
ASH,Boire Field
ASI,Wideawake Field
ASJ,Amami O Shima
ASK,Yamoussoukro
ASL,Harrison County
ASM,Yohannes IV
ASN,Talladega
ASO,Asosa
ASP,Alice Springs
ASQ,Austin
ASR,Erkilet International Airport
AST,Astoria
ASU,Silvio Pettirossi
ASV,Amboseli
ASW,Aswan
ASX,Ashland
ASY,Ashley
ASZ,Asirim
ATA,Anta
ATB,Atbara
ATD,Atoifi
ATE,Antlers
ATF,Chachoan
ATG,Attock
ATH,Eleftherios Venizelos
ATI,Artigas
ATJ,Antsirabe
ATK,Atqasuk
ATL,Hartsfield-jackson Atlanta International
ATM,Altamira
ATN,Namatanai
ATO,Ohio University
ATP,Airstrip
ATQ,Raja Sansi
ATR,Mouakchott
ATS,Artesia
ATT,Atmautluak
ATU,Casco Cove
ATV,Ati
ATW,Outagamie County
ATX,Atbasar
ATY,Watertown
ATZ,Assiut
AUA,Reina Beatrix
AUB,Itauba
AUC,Arauca
AUD,Augustus Downs
AUE,Abu Rudeis
AUF,Auxerre Branches
AUG,Augusta
AUH,Abu Dhabi International
AUI,Aua Island
AUJ,Ambunti
AUK,Alakanuk
AUL,Aur Island
AUM,Austin
AUN,Auburn
AUO,Auburn-Opelika
AUP,Agaun
AUQ,Atuona
AUR,Aurillac
AUT,Atauro
AUU,Aurukun Mission
AUV,Aumo
AUW,Municipal
AUX,Araguaina
AUY,Aneityum
AUZ,Municipal Airport
AVA,An Shun/Huang Guo Shu
AVB,Aviano
AVF,Avoriaz
AVG,Auvergne
AVI,Maximo Gomez
AVK,Arvaikheer
AVL,Asheville Regional Airport
AVN,Avignon-Caum
AVO,Municipal
AVP,Wilkes-Barre/Scranton International Airport
AVU,Avu Avu
AVV,Avalon
AVW,Avra Valley
AVX,Avalon Bay
AWA,Awassa
AWB,Awaba
AWD,Aniwa
AWE,Alowe
AWH,Awareh
AWK,Wake Island
AWM,Municipal
AWN,Alton Downs
AWP,Austral Downs
AWR,Awar
AWZ,Ahwaz
AXA,Wallblake
AXB,Alexandria Bay
AXC,Aramac
AXD,Dimokritos
AXE,Xanxere
AXG,Algona
AXK,Ataq
AXL,Alexandria
AXM,El Eden
AXN,Alexandria
AXP,Springpoint Arpt
AXR,Arutua
AXS,Municipal
AXT,Akita
AXU,Axum
AXV,Neil Armstrong
AXX,Angel Fire
AYA,Ayapel
AYC,Ayacucho
AYD,Alroy Downs
AYE,AAF Heliport
AYG,Yaguara
AYH,RAF Station
AYI,Yari
AYK,Arkalyk
AYL,Anthony Lagoon
AYN,Anyang
AYO,Ayolas
AYP,Yanamilla
AYQ,Connellan
AYR,Ayr
AYS,Ware County
AYT,Antalya
AYU,Aiyura
AYW,Ayawasi
AYZ,Zahns
AZB,Amazon Bay
AZD,Yazd
AZG,Apatzingan
AZI,Bateen
AZN,Andizhan
AZO,Kalamazoo/Battle Creek Intl
AZP,Atizapan
AZR,Adrar
AZT,Zapatoca
AZZ,Ambriz
BAA,Bialla
BAB,Beale AFB
BAC,Barranca De Upia
BAD,Barksdale AFB
BAE,Barcelonnette
BAF,Barnes
BAG,Loakan
BAH,Bahrain International
BAI,Buenos Aires
BAJ,Bali
BAL,Batman
BAM,Lander County
BAN,Basongo
BAO,Udorn
BAP,Baibara
BAQ,E Cortissoz
BAR,Baker Aaf
BAS,Balalae
BAT,Airport Chafei Amsei
BAU,Bauru
BAV,Baotou
BAW,Biawonque
BAX,Barnaul
BAY,Baia Mare
BAZ,Barbelos
BBA,Teniente Vidal
BBB,Municipal
BBC,Bay City
BBD,Curtis Field
BBE,Big Bell
BBF,Burlington
BBG,Butaritari
BBH,Barth
BBI,Bhubaneswar
BBJ,Bitburg Air Base
BBK,Kasane
BBL,Babolsar
BBM,Battambang
BBN,Bario
BBO,Berbera
BBP,Bembridge
BBQ,Barbuda
BBR,Baillif
BBS,Blackbushe
BBT,Berberati
BBU,Baneasa
BBV,Hkg
BBW,Broken Bow
BBX,Wings Field
BBY,Bambari
BBZ,Zambezi
BCA,Baracoa
BCB,Virginia Tech
BCC,Bear Creek
BCD,Bacolod
BCE,Bryce
BCF,Bouca
BCG,Bemichi
BCH,Cakung International
BCI,Barcaldine
BCJ,Baca Grande
BCK,Bolwarra
BCL,Barra Colorado
BCM,Bacau
BCN,El Prat De Llobregat
BCO,Jinka
BCP,Bambu
BCQ,Brack
BCR,Boca Do Acre
BCS,Southern Seaplane
BCT,Public
BCU,Bauchi
BCV,Belmopan
BCW,Benguera Island
BCX,Beloreck
BCY,Bulchi
BCZ,Bickerton Island
BDA,Kindley Field
BDB,Bundaberg
BDC,Barra Do Corda
BDD,Badu Island
BDE,Baudette
BDF,Rinkenberger
BDG,Blanding
BDH,Bandar Lengeh
BDI,Bird Island
BDJ,Sjamsudin Noor
BDK,Bondoukou
BDL,Bradley International
BDM,Bandirma
BDN,Talhar
BDO,Husein Sastranegara
BDP,Bhadrapur
BDQ,Vadodara
BDR,Igor I. Sikorsky Mem.
BDS,Papola Casale
BDT,Kisangani
BDU,Bardufoss
BDV,Moba
BDW,Bedford Downs
BDX,Broadus
BDY,State
BDZ,Baindoung
BEA,Bereina
BEB,Benbecula
BEC,Beech
BED,Hanscom Field
BEE,Beagle Bay
BEF,Bluefields
BEG,Nikola Tesla
BEH,Ross Field
BEI,Beica
BEJ,Kalimaru
BEK,Bareli
BEL,Val De Cans
BEM,Bossembele
BEN,Benina Intl
BEO,Belmont
BEP,Bellary
BEQ,Honington
BER,Berlin Metropolitan Area
BES,Guipavas
BET,Bethel Airport
BEU,Bedourie
BEV,Beer Sheba
BEW,Beira
BEX,RAF Station
BEY,Rafic Hariri International Airport
BEZ,Beru
BFA,Bahia Negra
BFB,Blue Fox Bay
BFC,Bloomfield
BFD,Bradford
BFE,Bielefeld
BFF,Scotts Bluff County
BFG,Bullfrog Basin
BFH,Bacacheri
BFI,Boeing Field/King County International Airport
BFJ,Ba
BFK,Buffalo Municipal Airport
BFL,Meadows Field
BFM,Mob Aerospace
BFO,Buffalo Range
BFP,Beaver Falls
BFQ,Bahia Pinas
BFR,Virgil I Grissom Muni
BFS,Aldergrove International Airport
BFT,County
BFU,Bengbu
BFV,Buri Ram
BFW,Sidi Belabbes
BFX,Bafoussam
BGA,Palo Negro
BGB,Booue
BGC,Braganca
BGD,Borger
BGE,Decatur County
BGF,Bangui
BGG,Bongouanou
BGH,Abbaye
BGI,Grantley Adams International
BGJ,Borgarfjordur Eystri
BGK,Big Creek
BGL,Baglung
BGM,Greater Binghamton
BGN,R.A.F.
BGO,Bergen Airport
BGP,Bongo
BGQ,Big Lake
BGR,Bangor International Airport
BGS,Webb AFB
BGT,Bagdad
BGU,Bangassou
BGV,Bento Goncalves
BGW,Al Muthana
BGX,Airport Cmdt. Gustavo Kraemer
BGY,Orio al Serio
BGZ,Braga
BHA,Bahia De Caraquez
BHB,Bar Harbor
BHC,Bhurban Heliport
BHD,George Best Belfast City
BHE,Woodbourne Air Station
BHF,Bahia Cupica
BHG,Brus Laguna
BHH,Bisha
BHI,Comandante
BHJ,Rudra Mata
BHK,Bukhara
BHL,Bahia Angeles
BHM,Birmingham
BHN,Beihan
BHO,Bhopal
BHP,Bhojpur
BHQ,Broken Hill
BHR,Bharatpur Airport
BHS,Raglan
BHT,Brighton Downs
BHU,Bhavnagar
BHV,Bahawalpur
BHW,Bhagatanwala Apt
BHX,Birmingham International Airport
BHY,Beihai
BIA,Poretta
BIB,Baidoa
BIC,Big Creek
BID,Block Island
BIE,Beatrice
BIF,Biggs Aaf
BIG,Intermediate Field
BIH,Bishop
BII,Enyu Airfield
BIJ,Biliau
BIK,Frans Kaisepo
BIL,Billings
BIM,International
BIN,Bamiyan
BIO,Sondica
BIP,Bulimba
BIQ,Biarritz Parme
BIR,Biratnagar
BIS,Bismarck
BIT,Baitadi
BIU,Bildudalur
BIV,Bria
BIW,Billiluna
BIX,Keesler AFB
BIY,Bisho
BIZ,Bimin
BJA,Bejaia
BJB,Bojnord
BJC,Jeffco
BJD,Bakkafjordur
BJF,Batsfjord
BJG,Bolaang
BJH,Bajhang
BJI,Bemidji
BJJ,Wayne County
BJK,Benjina
BJL,Yundum International
BJM,International
BJN,Bajone
BJO,Bermejo
BJP,Braganca Paulista
BJR,Bahar Dar
BJT,Bentota River
BJU,Bajura Arpt
BJV,Milas Airport
BJW,Bajawa
BJX,Del Bajío International
BJY,Batajnica
BJZ,Talaveral La Real
BKA,Bykovo
BKB,Bikaner
BKC,Buckland
BKD,Stephens County
BKE,Baker
BKF,Lake Brooks SPB
BKH,Barking Sands PMRF
BKI,Kota-Kinabalu International Airport
BKJ,Boke
BKK,Suvarnabhumi International
BKL,Burke Lakefront
BKM,Bakalalan
BKN,Birni Nkoni
BKO,Bamako
BKP,Barkly Downs
BKQ,Blackall
BKR,Bokoro
BKS,Padangkemiling
BKT,Blackstone AAF
BKU,Betioky
BKW,Beckley
BKX,Brookings
BKY,Kavumu
BKZ,Bukoba
BLA,Gen J A Anzoategui
BLB,Balboa
BLC,Bamenda
BLD,Boulder City
BLE,Dala Airport
BLF,Princeton
BLG,Belaga
BLH,Blythe
BLI,Bellingham
BLJ,Batna
BLK,Blackpool Airport
BLL,Billund
BLM,Monmouth Executive Airport
BLN,Benalla
BLO,Blonduos
BLP,Bellavista
BLQ,Guglielmo Marconi
BLR,Bangalore International Airport
BLS,Bollon
BLT,Blackwater
BLU,Blue Canyon
BLV,Belleville
BLW,Bellows Field
BLX,Belluno
BLY,Belmullet
BLZ,Chileka
BMA,Bromma
BMB,Bumba
BMC,Brigham City
BMD,Belo
BME,Broome
BMF,Bakouma
BMG,Bloomington
BMH,Bomai
BMI,Central Illinois Regional Airport at Bloomington-Normal
BMJ,Baramita
BMK,Borkum
BML,Berlin Municipal Airport
BMM,Bitam
BMN,Bamerny
BMO,Bhamo
BMP,Brampton Island
BMQ,Bamburi
BMR,Baltrum
BMS,Brumado
BMT,Beaumont Muni
BMU,Bima
BMV,Phung-Duc
BMW,Bordj Badji Mokhtar
BMX,Big Mountain
BMY,Belep Island
BMZ,Bamu
BNA,Nashville International
BNB,Boende
BNC,Beni
BND,Bandar Abbas
BNE,Brisbane International
BNF,Warm Spring Bay SPB
BNG,Banning
BNH,Barnes
BNI,Benin City
BNK,Ballina Byron Gateway
BNL,Barnwell Regional
BNM,Bodinumu
BNN,Bronnoy
BNO,Burns
BNP,Bannu
BNQ,Baganga
BNR,Banfora
BNS,Barinas
BNT,Bundi
BNU,Blumenau
BNV,Boana
BNW,Boone
BNX,Banja Luka
BNY,Bellona
BNZ,Banz
BOA,Boma
BOB,Motu-mute
BOC,Bocas Del Toro
BOD,Mérignac
BOE,Boundji
BOF,Bolling AFB
BOG,Eldorado International
BOH,Bournemouth International
BOI,Boise Air Terminal/Gowen Field
BOJ,Bourgas
BOK,Brookings State
BOL,Bally Kelly
BOM,Chhatrapati Shivaji International
BON,Flamingo International
BOO,Bodo
BOP,Bouar
BOQ,Boku
BOR,Fontaine
BOS,Logan International
BOT,Boset
BOU,Bourges
BOV,Boang
BOW,Bartow
BOX,Borroloola
BOY,Borgo
BOZ,Bozoum
BPA,Grumman
BPB,Boridi
BPC,Bamenda
BPD,Bapi
BPE,Bagan
BPF,Batuna Aerodrome
BPG,Barra Do Garcas
BPH,Bislig
BPI,Big Piney-marbleton
BPK,Biangabip
BPN,Sepingan
BPS,Porto Seguro
BPT,Jefferson County
BPU,Beppu
BPX,Qamdo Bangda
BPY,Besalampy
BQA,Baler
BQB,Bussellton
BQE,Bubaque
BQH,London Biggin Hill
BQI,Bagani
BQK,Glynco Jetport
BQL,Boulia
BQN,Borinquen
BQO,Bouna
BQQ,Barra
BQS,Ignatievo
BQT,Brest
BQU,J.F. Mitchell
BQV,Bartlett SPB
BQW,Balgo Hills
BRA,Barreiras
BRB,Barreirinhas
BRC,International
BRD,Brainerd Lakes Regional
BRE,Bremen
BRF,Bradford
BRG,Municipal
BRH,Brahman
BRI,Palese
BRJ,Bright
BRK,Bourke
BRL,Burlington
BRM,Barquisimeto
BRN,Belp
BRO,South Padre Is. Intl
BRP,Biaru
BRQ,Turany
BRR,North Bay
BRS,Bristol
BRT,Bathurst Island
BRU,Brussels Airport
BRV,Bremerhaven
BRW,Wiley Post/W.Rogers M
BRX,Barahona
BRY,Samuels Field
BRZ,Borotou
BSA,Bossaso
BSB,Presidente Juscelino Kubitschek
BSC,Bahia Solano
BSD,Baoshan
BSE,Sematan
BSF,Bradshaw AAF
BSG,Bata
BSH,Brighton
BSI,Blairsville
BSJ,Bairnsdale
BSK,Biskra
BSL,Euroairport Basel Mulhouse Freiburg
BSM,Bishe-kola
BSN,Bossangoa
BSO,Basco
BSP,Bensbach
BSQ,Bisbee Municipal Arpt
BSR,International
BSS,Balsas
BST,Bost
BSU,Basankusu
BSV,Besakoa
BSW,Boswell Bay
BSX,Bassein
BSY,Bardera
BSZ,Bartletts
BTA,Yaoundé
BTB,Betou
BTC,Batticaloa
BTD,Brunette Downs
BTE,Bonthe
BTF,Salt Lake Skypark
BTG,Batangafo
BTH,Hang Nadim
BTI,Barter Island
BTJ,Sultan Lskandarmuda Airport
BTK,Bratsk
BTL,WK Kellogg Regional
BTM,Bert Mooney Airport
BTN,Bennettsville
BTO,Botopasie
BTP,Butler County - Kenny Scholter Field
BTQ,Butare
BTR,Ryan
BTS,M. R. Štefánika
BTT,Bettles
BTU,Bintulu
BTV,Burlington International
BTW,Batu Licin
BTX,Betoota
BTY,Beatty
BTZ,Bursa Airport
BUA,Buka
BUB,Municipal
BUC,Burketown
BUD,Ferihegy
BUG,Gen V Deslandes
BUI,Bokondini
BUJ,Ain Eddis
BUK,Albuq
BUL,Bulolo
BUM,Butler
BUN,Buenaventura
BUO,Burao
BUP,Bhatinda
BUQ,Bulawayo
BUR,Bob Hope
BUS,Batumi
BUT,Burtonwood
BUU,Buyo
BUV,Bella Union
BUW,Baubau
BUX,Bunia
BUY,Bunbury
BUZ,Bushehr
BVA,Beauvais-Tille
BVB,Boa Vista
BVC,Rabil
BVD,Sea Port
BVE,Laroche
BVF,Dama
BVG,Berlevag
BVH,Vilhena
BVI,Birdsville
BVK,Huacaraje
BVL,Baures
BVM,Belmonte
BVO,Bartlesville
BVP,Bolovip
BVR,Esperadinha
BVS,Breves
BVU,Beluga
BVW,Batavia Downs
BVX,Municipal
BVY,Beverly Municiple Airport
BVZ,Beverley Springs
BWA,Bhairawa
BWB,Barrow Island
BWC,Brawley
BWD,Brownwood
BWE,Braunschweig
BWF,Walney Island
BWG,Warren County
BWH,Butterworth
BWI,Baltimore/Washington International Thurgood Marshall Airport
BWJ,Bawan
BWK,Bol
BWL,Blackwell
BWM,Bowman
BWN,Bandar Seri Begwan International Airport
BWO,Balakovo
BWP,Bewani
BWQ,Brewarrina
BWS,Blaine
BWT,Burnie Wynyard
BWU,Sydney Bankstown
BWY,Bentwaters St
BXA,George R Carr
BXB,Babo
BXC,Boxborough
BXD,Bade
BXE,Bakel
BXF,Belburn
BXG,Bendigo
BXH,Balhash
BXI,Boundiali
BXJ,Burundai
BXK,Buckeye Municipal
BXL,Blue Lagoon
BXM,Batom
BXN,Imsik Airport
BXO,Buochs
BXR,Bam
BXS,Borrego Springs
BXT,Bontang
BXU,Butuan
BXV,Breiddalsvik
BXX,Borama International
BXZ,Bunsil
BYA,Boundary
BYB,Dibaa
BYC,Yacuiba
BYD,Beidah
BYG,Municipal
BYH,Blytheville AFB
BYI,Rupert
BYK,Bouake
BYL,Bella Yella
BYM,C.M. de Cespedes
BYN,Bayankhongor
BYO,Bonito Airport
BYQ,Bunyu
BYR,Laeso Airport
BYS,Bicycle Lake AAF
BYT,Bantry
BYU,Bindlacher-Berg
BYW,Blakely Island
BYX,Baniyala
BZA,San Pedro
BZB,Bazaruto Island
BZC,Buzios
BZD,Balranald
BZE,Philip S.W.Goldson Int
BZG,Bydgoszcz I. J. Paderewski Airport
BZH,Bumi Hills
BZI,Balikesir
BZK,Briansk
BZL,Barisal
BZM,Woensdrecht
BZN,Gallatin Field
BZO,Bolzano
BZP,Bizant
BZR,Beziers Vias
BZS,Buzzards Pt S
BZT,Hinkles Ferry
BZU,Buta
BZV,Maya Maya
BZY,Beltsy
BZZ,Raf Brize Norton
CAA,Catacamas
CAB,Cabinda
CAC,Cascavel
CAD,Cadillac
CAE,Metropolitan Airport
CAF,Carauari
CAG,Elmas
CAH,Ca Mau
CAI,Cairo International
CAJ,Canaima
CAK,Akron/canton Regional
CAL,Machrihanish
CAM,Camiri
CAN,New Baiyun
CAO,Clayton
CAP,Cap Haitien
CAQ,Caucasia
CAR,Municipal
CAS,Anfa
CAT,New Bight
CAU,Caruaru
CAV,Cazombo
CAW,Bartolomeu Lisandro
CAX,Carlisle
CAY,Rochambeau
CAZ,Cobar
CBA,Corner Bay
CBB,J Wilsterman
CBC,Cherrabun
CBD,Car Nicobar
CBE,Wiley Ford
CBF,Municipal
CBG,Cambridge
CBH,Leger
CBI,Cape Barren Island
CBJ,Cabo Rojo
CBK,Municipal
CBL,Ciudad Bolivar
CBM,Columbus AFB
CBN,Penggung
CBO,Awang
CBP,Coimbra
CBQ,Calabar
CBR,Canberra
CBS,Oro Negro
CBT,Catumbela
CBU,Cottbus
CBV,Coban
CBW,Campo Mourao
CBX,Condobolin
CBY,Canobie
CBZ,Cabin Creek
CCA,Chaffee AFB
CCB,Cable Airport
CCC,Cayo Coco
CCD,Century City
CCE,Grand Case
CCF,Salvaza
CCG,Crane County Arpt
CCH,Chile Chico
CCI,Concordia
CCJ,Kozhikode Airport
CCK,Cocos Islands
CCL,Chinchilla
CCM,Criciuma
CCN,Chakcharan
CCO,Carimagua
CCP,Carriel Sur
CCQ,Cachoeira
CCR,Buchanan Fld
CCS,Simon Bolivar International Airport
CCT,Colonia Catriel
CCU,Netaji Subhas Chandra
CCV,Craig Cove
CCW,Cowell
CCX,Caceres
CCY,Municipal
CCZ,Chub Cay
CDA,Cooinda
CDB,Cold Bay
CDC,Cedar City
CDD,Cauquira
CDE,Caledonia
CDG,Charles De Gaulle
CDH,Harrell Fld
CDI,Cachoeiro Itapemirim
CDJ,Conceicao Do Araguaia
CDK,Lewis
CDL,Candle
CDN,Woodward Fld
CDO,Cradock
CDP,Cuddapah
CDQ,Croydon
CDR,Chadron
CDS,Childress
CDU,Camden
CDV,Mudhole Smith
CDW,Caldwell Wright
CDY,Cagayan De Sulu
CDZ,Cadiz
CEA,Cessna Aircraft Field
CEB,Mactan-Cebu International
CEC,Mc Namara Fld
CED,Ceduna
CEE,Cherepovets
CEF,Westover Metro Arpt
CEG,Chester
CEH,Chelinda
CEI,Chiang Rai
CEJ,Chernigov
CEK,Chelyabinsk
CEL,Cape Eleuthera
CEM,Central
CEN,Ciudad Obregon
CEO,Waco Kungo
CEP,Concepcion
CEQ,Mandelieu
CER,Maupertus
CES,Cessnock
CET,Le Pontreau
CEU,Oconee County
CEV,Mettle Field
CEW,Bob Sikes
CEX,Chena Hot Springs
CEY,Calloway County
CEZ,Montezuma County
CFA,Coffee Point
CFB,Cabo Frio
CFC,Cacador
CFD,Coulter Field
CFE,Aulnat
CFF,Cafunfo
CFG,Cienfuegos
CFH,Clifton Hills
CFI,Camfield
CFK,Chefornak
CFN,Donegal
CFO,Confreza
CFP,Carpentaria Downs
CFQ,Creston Valley Airport
CFR,Carpiquet
CFS,Coffs Harbour
CFT,Morenci
CFU,Ioannis Kapodistrias
CFV,Municipal
CGA,Craig SPB
CGB,Intl. Airpt. Marechal Rondon
CGC,Cape Gloucester
CGD,Changde
